num_distr,mouse.time,,,,
5,1.710676,,,5,1.710676
10,0.6334777,,,5,0.5982264
10,0.7859722,,,5,0.4387619
5,0.5982264,,,5,0.4376023
10,0.6423181,,,5,0.5036109
10,0.5263952,,meanRT_5,5,0.3880181
10,0.5734588,,0.660806013,5,0.4547408
5,0.4387619,,,5,0.7548117
5,0.4376023,,,,
5,0.5036109,,meanRT_10,10,0.6334777
10,0.4332709,,0.664031183,10,0.7859722
10,0.3907057,,,10,0.6423181
10,0.3181041,,slope ,10,0.5263952
5,0.3880181,,-0.000645034,10,0.5734588
10,0.3676074,,,10,0.4332709
10,0.2534866,,,10,0.3907057
10,2.2262994,,,10,0.3181041
5,0.4547408,,,10,0.3676074
10,0.8172781,,,10,0.2534866
5,0.7548117,,,10,2.2262994
,,,,10,0.8172781
